id,name,quantity,unit,price,clubcard_price,price_diff,reduction_percent
1801,Yeo Valley No Added Sugar Kids Yogurts Selection,642.0,g,2.0,1.25,0.75,37.5
1048,Muller Light Fat Free Mango Psn/Fruit Peach Yogurt,840.0,g,4.0,2.5,1.5,37.5
614,Muller Light Red Fruit Assorted Fat Free Yogurt,6.0,x140g,4.0,2.5,1.5,37.5
860,Ginsters Peppered Steak Slice,170.0,g,1.95,1.25,0.7,35.9
1063,Ginsters Chicken & Mushroom Slice 170G,1.0,170g,1.95,1.25,0.7,35.9
1878,Ginsters Chicken Tikka Slice,170.0,g,1.95,1.25,0.7,35.9
1643,Ginsters Vegan Quorn Pasty,180.0,g,1.95,1.25,0.7,35.9
1513,Ginsters Festive Chicken & Stuffing Slice,170.0,g,1.95,1.25,0.7,35.9
2082,Vivera Plant Chicken Breast,180.0,g,3.1,2.0,1.1,35.5
588,Flora Buttery Spread with Natural Ingredients 1KG,1.0,kg,4.6,3.0,1.5999999999999996,34.8
812,Flora Lighter Spread With Natural Ingredients 1KG,1.0,1kg,4.6,3.0,1.5999999999999996,34.8
1097,Walls 4 Hearty Sausage Rolls,220.0,g,1.9,1.25,0.6499999999999999,34.2
1384,Smarties Split Pot Vanilla Flavour Yogurt,4107.0,g,2.65,1.75,0.8999999999999999,34.0
1500,Tropicana Pressed Apple Juice,900.0,ml,3.0,2.0,1.0,33.3
1727,Yeo Valley 0% Fat Vanilla Yogurt,450.0,g,2.25,1.5,0.75,33.3
433,Frubes Kids Strawberry Red Berry & Peach Kids Yoghurt Tubes Multipack 9x37g,333.0,g,2.25,1.5,0.75,33.3
1179,Actimel Original Fat Free Immunity Live Yoghurt Drink Multipack,12.0,x100g,4.5,3.0,1.5,33.3
2,Tropicana Smooth Orange Juice,900.0,ml,3.0,2.0,1.0,33.3
880,Rachel's Organic Divine Rice,2150.0,g,2.25,1.5,0.75,33.3
1574,Tropicana Tropical Juice,850.0,ml,3.0,2.0,1.0,33.3
1238,Actimel Strawberry Blueberry Immunity Live Yoghurt Drink Multipack,12.0,x100g,4.5,3.0,1.5,33.3
856,Tropicana Original Orange With Juicy Bits,900.0,ml,3.0,2.0,1.0,33.3
1794,Gu Salted Caramel Cheesecake,292.0,g,3.75,2.5,1.25,33.3
654,Frubes Strawberry Kids Yoghurt Tubes Multipack,9.0,,2.25,1.5,0.75,33.3
1462,Yeo Valley Organic Whole Milk Lemon Curd Yogurt,450.0,g,2.25,1.5,0.75,33.3
1431,Yeo Valley Raspberry Yogurt,450.0,g,2.25,1.5,0.75,33.3
766,Tesco Pomegranates,,,1.5,1.0,0.5,33.3
2198,Gu Cheesecake Key Lime Pie,278.0,g,3.75,2.5,1.25,33.3
521,Rustlers All Day Breakfast Sausage Muffin 155G,1.0,unit,1.85,1.25,0.6000000000000001,32.4
1307,Bonne Maman Creme Caramel Dessert 4x100g,4.0,x 100g,3.2,2.2,1.0,31.2
2220,Bonne Maman Creme Brulee Dessert,2100.0,g,3.2,2.2,1.0,31.2
1185,Tesco Lightly Dusted Haddock Fillets,255.0,g,3.95,2.75,1.2000000000000002,30.4
487,Activia Cherry No Added Sugar Fat Free Gut Health Yoghurt Multipack,4.0,x115g,2.5,1.75,0.75,30.0
429,Activia Strawberry Gut Health Yoghurt Multipack 4x115g,460.0,g,2.5,1.75,0.75,30.0
586,Activia Peach No Added Sugar Fat Free Gut Health Yoghurt Multipack 4x115g,4115.0,g,2.5,1.75,0.75,30.0
485,Bertolli Original Spread,450.0,g,2.85,2.0,0.8500000000000001,29.8
981,Bertolli Light,450.0,g,2.85,2.0,0.8500000000000001,29.8
2250,Tesco Pepperoni Pasta Bake 750G,750.0,g,4.25,3.0,1.25,29.4
1113,Tesco British Chicken Drumsticks,1.0,kg,3.4,2.4,1.0,29.4
125,Clover Original Spread 500G,500.0,g,2.45,1.75,0.7000000000000002,28.6
1053,Alpro Vanilla Dairy Free Soya Yoghurt Alternative,500.0,g,2.1,1.5,0.6000000000000001,28.6
1394,Alpro Cherry Dairy Free Soya Yoghurt Alternative,500.0,g,2.1,1.5,0.6000000000000001,28.6
1042,Tesco Finest Shiitake Mushrooms,125.0,g,1.75,1.25,0.5,28.6
323,Clover Light Spread,500.0,g,2.45,1.75,0.7000000000000002,28.6
1022,Alpro Plain No Sugars Dairy Free Soya Yoghurt Alternative 500g,500.0,g,2.1,1.5,0.6000000000000001,28.6
987,Alpro Greek Style Plain Dairy Free Yoghurt Alternative,400.0,g,2.1,1.5,0.6000000000000001,28.6
1670,Alpro Barista Coconut Long Life Dairy Free Drink,1.0,l,2.1,1.5,0.6000000000000001,28.6
1120,Alpro Plain Natural Dairy Free Soya Yoghurt Alternative,500.0,g,2.1,1.5,0.6000000000000001,28.6
818,Yollies Strawberry Yogurt 4 X25g,4.0,25g,1.75,1.25,0.5,28.6
754,Dairylea Cheese Spread Triangles,815.6,g,1.75,1.25,0.5,28.6
1605,Alpro Blueberry Dairy Free Soya Yoghurt Alternative,500.0,g,2.1,1.5,0.6000000000000001,28.6
1247,Alpro Plain Coconut Dairy Free Soya Yoghurt Alternative,500.0,g,2.1,1.5,0.6000000000000001,28.6
1534,Alpro Strawberry Dairy Free Soya Yoghurt Alternative 500g,500.0,g,2.1,1.5,0.6000000000000001,28.6
1968,Alpro Barista Almond Long Life Dairy Free Drink,1.0,l,2.1,1.5,0.6000000000000001,28.6
1091,Tesco 2 Skinless & Boneless Basa Fillets,250.0,g,2.7,1.95,0.7500000000000002,27.8
807,Tesco Finest Extra Mature English Cheddar Cheese 350G,1.0,350g,4.0,2.9,1.1,27.5
1924,Tesco Finest Mature English Cheddar Cheese,350.0,g,4.0,2.9,1.1,27.5
645,Tesco Finest Vintage Cheddar Cheese,300.0,g,4.0,2.9,1.1,27.5
1686,Gu-Zillionaire Cheesecakes 2 X91.5G,291.5,g,3.75,2.75,1.0,26.7
1749,Gu Chocolate Melting Middles,2.0,100g,3.75,2.75,1.0,26.7
2045,Gu Inspirations Chocolate & Honeycomb Desserts,286.5,g,3.75,2.75,1.0,26.7
2109,Higgidy Porcini Mushroom & Spinach Vegan Rolls,160.0,g,3.4,2.5,0.8999999999999999,26.5
2251,Higgidy Vegetable Samosa Vegan Rolls 160G,160.0,g,3.4,2.5,0.8999999999999999,26.5
250,Tesco Cheese & Garlic Flatbread,230.0,,1.9,1.4,0.5,26.3
1025,Tesco Garlic & Rosemary Flatbread 220G,220.0,g,1.9,1.4,0.5,26.3
822,Tesco Sunblush Tomato & Garlic Flatbread,235.0,,1.9,1.4,0.5,26.3
1608,Alpro Almond Original Chilled Dairy Free Drink,1.0,l,2.0,1.5,0.5,25.0
1599,Yazoo Strawberry Milkshake,1.0,litre bottle,2.0,1.5,0.5,25.0
1532,Yazoo Chocolate Milkshake 1 Litre Bottle,1.0,l,2.0,1.5,0.5,25.0
1194,"Pukka Veggie Cheese, Leek & Potato Pie",1.0,,2.0,1.5,0.5,25.0
532,Alpro Almond No Sugar Chilled Dairy Free Drink,1.0,l,2.0,1.5,0.5,25.0
1188,Pukka Minced Beef & Onion Pie,1.0,,2.0,1.5,0.5,25.0
422,Lurpak Lighter Spreadable Butter Rapeseed Oil 400G,400.0,g,4.0,3.0,1.0,25.0
1486,Ufit High Protein Milkshake Drink Strawberry,330.0,ml,2.0,1.5,0.5,25.0
1453,Mul/Rce Strawberry & Original Low Fat Dessert,6.0,x170g,4.0,3.0,1.0,25.0
623,Pukka Chicken & Mushroom Pie,1.0,each,2.0,1.5,0.5,25.0
624,Alpro Oat No Sugar Chilled Dairy Free Drink,1.0,litre,2.0,1.5,0.5,25.0
1351,Gressingham Aromatic Half Duck,570.0,g,8.0,6.0,2.0,25.0
802,Tesco Cranberries 250G,1.0,250g,2.0,1.5,0.5,25.0
423,Lurpak Unsalted Spreadable Blend of Butter and Rapeseed Oil 400g,400.0,g,4.0,3.0,1.0,25.0
1671,Alpro Oat Original Chilled Dairy Free Drink,1.0,l,2.0,1.5,0.5,25.0
1898,Yazoo Banana Milkshake,1.0,l,2.0,1.5,0.5,25.0
